"Site","Year","Mean","SD","p2.5","p25","p50","p75","p97.5","Rhat","n.eff","Source","name","Par"
"FRCH","2022",-0.192840390028161,0.151399127697283,-0.494563314268555,-0.292400234282826,-0.197775801849023,-0.0923629853413663,0.11836184935343,1.00309887816426,1500,"soil_water","alpha[39]1","alph"
"FRCH","2022",-0.465563761408927,0.14580917678187,-0.739002016658218,-0.567118066003505,-0.467737554837496,-0.367350439566055,-0.176664013111361,1.0023135273545,1100,"soil_water","alpha[40]1","alph"
"FRCH","2022",-5.90368484598016,0.149046579293968,-6.19900284180198,-6.00591786570525,-5.90421363379305,-5.79853856357712,-5.6228684769888,1.00846695142756,680,"soil_water","alpha[41]1","alph"
"FRCH","2022",-3.54244011655578,0.144727317008193,-3.81865678881253,-3.64139046896056,-3.54209832560566,-3.44851317194327,-3.25421004757265,1.001144030692,3000,"soil_water","alpha[42]1","alph"
"FRCH","2022",-3.50432112025688,0.142638855711953,-3.78304843371258,-3.59986248024456,-3.50612868122606,-3.40875238145831,-3.22401449655464,1.00149866528355,2900,"soil_water","alpha[43]1","alph"
"FRCH","2022",-0.602472197675457,0.15222584653638,-0.894075432878548,-0.707320234783945,-0.596519643164815,-0.501700346203002,-0.303522997543184,1.00278112753315,880,"soil_water","alpha[44]1","alph"
"FRCH","2022",-0.797977537139579,0.141912566271848,-1.06861860150927,-0.892515717864973,-0.799983794666719,-0.702787149404463,-0.512077396499958,1.00236265130562,1100,"soil_water","alpha[45]1","alph"
"FRCH","2022",-0.221116299805113,0.145634502948595,-0.503458231106731,-0.320630867310754,-0.217407954721058,-0.123424399606354,0.0669882636512334,1.00156994961076,1900,"soil_water","alpha[46]1","alph"
"FRCH","2022",1.35463166832341,0.148138638630302,1.07350123989699,1.25247970584341,1.34935283592525,1.4542080065485,1.65510102915708,1.00110799665065,3000,"soil_water","alpha[47]1","alph"
"FRCH","2022",-1.07056800427703,0.145885000692267,-1.36337473165772,-1.16927165860176,-1.06713753259514,-0.973793518466789,-0.783440903780414,1.00523876718805,1100,"soil_water","alpha[48]1","alph"
