"Site","Day","Q"
"POKE",2019-10-10,536.68683567021
"POKE",2019-10-11,534.438403090408
"POKE",2019-10-12,515.872818480235
"POKE",2019-10-13,511.009896557445
"POKE",2019-10-14,NA
"POKE",2019-10-15,NA
"POKE",2019-10-16,NA
"POKE",2019-10-17,NA
"POKE",2019-10-18,NA
"POKE",2019-10-19,NA
"POKE",2019-10-20,NA
"POKE",2019-10-21,NA
"POKE",2019-10-22,NA
"STRT",2019-04-29,NA
"STRT",2019-04-30,NA
"STRT",2019-05-01,NA
"STRT",2019-05-02,NA
"STRT",2019-05-03,NA
"STRT",2019-05-04,NA
"STRT",2019-05-05,NA
"STRT",2019-05-06,NA
"STRT",2019-05-07,NA
"STRT",2019-05-08,NA
"STRT",2019-05-09,NA
"STRT",2019-05-10,NA
"STRT",2019-05-11,NA
"STRT",2019-05-12,NA
"STRT",2019-05-13,NA
"STRT",2019-05-14,NA
"STRT",2019-05-15,NA
"STRT",2019-05-16,NA
"STRT",2019-05-17,NA
"STRT",2019-05-18,NA
"STRT",2019-05-19,NA
"STRT",2019-05-20,NA
"STRT",2019-05-21,NA
"STRT",2019-05-22,587.13714413219
"STRT",2019-05-23,568.527475739118
"STRT",2019-05-24,567.432789363055
"STRT",2019-05-25,652.544655101956
"STRT",2019-05-26,651.840928145916
"STRT",2019-05-27,609.734598609491
"STRT",2019-05-28,545.656349667802
"STRT",2019-05-29,528.688710838825
"STRT",2019-05-30,527.359448810748
"STRT",2019-05-31,529.509725620872
"STRT",2019-06-01,1570.2827976628
"STRT",2019-06-02,1918.15848959883
"STRT",2019-06-03,1391.4188630025
"STRT",2019-06-04,1069.89383597599
"STRT",2019-06-05,879.965749729051
"STRT",2019-06-06,780.740248927338
"STRT",2019-06-07,788.403053559779
"STRT",2019-06-08,883.679864219265
"STRT",2019-06-09,859.831339597892
"STRT",2019-06-10,777.182518205133
"STRT",2019-06-11,921.329256367433
"STRT",2019-06-12,1097.02641972555
"STRT",2019-06-13,910.734256084823
"STRT",2019-06-14,810.140397313031
"STRT",2019-06-15,750.91004517962
"STRT",2019-06-16,786.409160517664
"STRT",2019-06-17,730.384675628438
"STRT",2019-06-18,735.740819682747
"STRT",2019-06-19,758.611945754064
"STRT",2019-06-20,719.750579403826
"STRT",2019-06-21,703.994914776919
"STRT",2019-06-22,665.172644368683
"STRT",2019-06-23,712.86969361143
"STRT",2019-06-24,701.805542024793
"STRT",2019-06-25,663.452422920584
"STRT",2019-06-26,636.63260670704
"STRT",2019-06-27,612.471314549649
"STRT",2019-06-28,607.154266437343
"STRT",2019-06-29,597.849432240807
"STRT",2019-06-30,577.910501819659
"STRT",2019-07-01,582.015575729895
"STRT",2019-07-02,565.634376030952
"STRT",2019-07-03,561.998453424743
"STRT",2019-07-04,534.474910255158
